City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
325,boguchany,58.3814,97.4531,-4.52,87,100,0.89,RU,1712858334
326,valparaiso,-33.0393,-71.6273,22.3,63,0,4.63,CL,1712858136
327,ust-nera,64.5667,143.2,-14.36,97,82,2.99,RU,1712858335
328,senekal,-28.3197,27.6208,15.54,44,6,2.04,ZA,1712858335
329,lillehammer,61.1146,10.4674,6.74,86,71,3.28,NO,1712858335
330,lospalos,-8.5186,127.0025,21.2,92,99,0.79,TL,1712858335
331,freetown,8.484,-13.2299,27.58,60,57,3.75,SL,1712858335
332,sihanoukville,10.6093,103.5296,27.97,89,40,1.54,KH,1712858336
333,qarauyl,48.9451,79.255,0.44,88,100,6.55,KZ,1712858336
334,takoradi,4.8845,-1.7554,27.73,81,100,4.53,GH,1712858336
335,saint-affrique,43.9558,2.8892,12.14,74,52,2.28,FR,1712858336
336,howrah,22.5892,88.3103,30.05,61,40,0.0,IN,1712858336
337,usogorsk,63.4106,48.6872,4.81,100,100,7.19,RU,1712858336
338,shubarkuduk,49.1447,56.4872,10.18,63,40,3.08,KZ,1712858336
339,ha'il,27.5219,41.6907,23.01,28,0,3.09,SA,1712858337
340,mezokovesd,47.8167,20.5833,16.46,73,57,3.36,HU,1712858337
341,nova sintra,14.8667,-24.7167,22.86,73,6,6.42,CV,1712858337
342,bryne,58.7354,5.6477,10.13,87,0,5.14,NO,1712858337
343,noosa heads,-26.3833,153.15,18.95,77,24,7.08,AU,1712858337
344,mao,39.8885,4.2658,15.31,72,20,8.23,ES,1712858337
345,xiaoshi,41.2971,124.1209,8.77,90,31,3.3,CN,1712858337
346,darwin,-12.4611,130.8418,23.99,65,78,2.57,AU,1712858277
347,nar'yan-mar,67.6713,53.087,1.73,100,100,7.6,RU,1712858338
348,chapaev,50.2,51.1667,13.72,56,40,3.22,KZ,1712858338
349,geraldton,-28.7667,114.6,22.23,56,57,7.72,AU,1712858259
350,luena,-11.7833,19.9167,24.1,73,98,2.06,AO,1712858338
351,alaghsas,17.0187,8.0168,38.94,6,0,1.03,NE,1712858338
352,bulayevo,54.9056,70.4439,-0.36,82,75,1.76,KZ,1712858338
353,valentin gomez farias,28.2167,-106.5833,20.76,12,26,6.92,MX,1712858338
354,magong,23.5654,119.5863,20.62,99,39,2.78,TW,1712858339
355,kolonia,50.9333,6.95,17.13,72,40,2.57,DE,1712858039
356,san juan,-31.5375,-68.5364,15.43,47,89,3.68,AR,1712858072
